Opossum	0.807535028	3.454326445
Diprotodontian	1.098989639	3.680879174
Elephant	3.702861171	6.564902673
Hyrax	1.311753861	3.390581879
Tenrecid	0.409933123	2.06595298
Lo_Ear_Ele_shrew	0.056904851	1.667452953
Armadillo	1.079181246	3.533225352
Sloth	1.414973348	3.602624207
Anteater	1.379849179	3.544068044
Tree_Shrew	0.505149978	2.089905111
Strepsirrhine	1.342422681	3.375480715
Rabbit	1.084576278	3.336039245
Pika	0.378397901	2.037426498
Sciurid	0.871572936	2.79518459
Caviomorph	1.380211242	3.837019949
Mole	0.170261715	1.681241237
Hedgehog	0.544068044	3.084039781
Shrew	-0.721246399	1.033423755
Phyllostomid	-0.031517051	1.663700925
False_vampire_bat	-0.327902142	1.173186268
Flying_Fox	0.859138297	2.776701184
Rousette_Fruitbat	0.424881637	2.164352856
Pangolin	1.041392685	3.625312451
Caniform	1.702430536	3.660865478
Horse	2.607455023	5.249198357
Llama	2.352182518	5.06069784
Pig	2.255272505	5.130333768
Ruminant	2.653212514	5.540329475
Tapir	2.202488317	4.763877031
Hippo	2.770852012	6.146128036
Whale	3.832508913	7.763869551
Rhino	2.8162413	5.883093359
Cat	1.559068334	3.633468456
Mouse	-0.045757491	1.164352856
Sirenian	2.450249108	5.477121255
Hystricid	1.568201724	4.053078443
Rat	0.376576957	2.530199698
Flying_Lemur	-0.091514981	0.77815125
Golden_Mole	-0.15490196	1.69019608
Free_tailed_bat	-0.180456064	1.568201724
