Opossum	0.807535028	3.454326445	1.096910013
Diprotodontian	1.098989639	3.680879174	1.62324929
Elephant	3.702861171	6.564902673	2.789580712
Hyrax	1.311753861	3.390581879	2.359835482
Tenrecid	0.409933123	2.06595298	1.799340549
Lo_Ear_Ele_shrew	0.056904851	1.667452953	1.707570176
Armadillo	1.079181246	3.533225352	2.100370545
Sloth	1.414973348	3.602624207	2.430768212
Anteater	1.379849179	3.544068044	2.426511261
Tree_Shrew	0.505149978	2.089905111	1.672097858
Strepsirrhine	1.342422681	3.375480715	2.093561758
Rabbit	1.084576278	3.336039245	1.498310554
Pika	0.378397901	2.037426498	1.431363764
Sciurid	0.871572936	2.79518459	1.66351247
Caviomorph	1.380211242	3.837019949	1.792391689
Mole	0.170261715	1.681241237	1.66351247
Hedgehog	0.544068044	3.084039781	1.591064607
Shrew	-0.721246399	1.033423755	1.397940009
Phyllostomid	-0.031517051	1.663700925	2.320872965
False_vampire_bat	-0.327902142	1.173186268	1.968482949
Flying_Fox	0.859138297	2.776701184	2.027145666
Rousette_Fruitbat	0.424881637	2.164352856	2.068185862
Pangolin	1.041392685	3.625312451	2.130333768
Caniform	1.702430536	3.660865478	1.785329835
Horse	2.607455023	5.249198357	2.525044807
Llama	2.352182518	5.06069784	2.51851394
Pig	2.255272505	5.130333768	2.049218023
Ruminant	2.653212514	5.540329475	2.45484486
Tapir	2.202488317	4.763877031	2.591064607
Hippo	2.770852012	6.146128036	2.371067862
Whale	3.832508913	7.763869551	2.62324929
Rhino	2.8162413	5.883093359	2.653212514
Cat	1.559068334	3.633468456	1.806179974
Mouse	-0.045757491	1.164352856	1.322219295
Sirenian	2.450249108	5.477121255	2.556302501
Hystricid	1.568201724	4.053078443	2.041392685
Rat	0.376576957	2.530199698	1.342422681
Flying_Lemur	-0.091514981	0.77815125	1.77815125
Golden_Mole	-0.15490196	1.69019608	2.06069784
Free_tailed_bat	-0.180456064	1.568201724	1.83524654
